colour	fill	y	x	density	scaled	count	n	showSelectedlegendcolourfill	group	ymin	ymax
#B79F00	#B79F00	0.00454760113904286	43.4442270058708	0.00454760113904286	0.0719389219154673	4.2019834524756	924	CA	2	0	0.00454760113904286
#00BA38	#00BA38	0.00605193875434521	43.4442270058708	0.00605193875434521	0.0898854033800166	9.26551823290252	1531	GB	3	0	0.00605193875434521
#00BFC4	#00BFC4	0.0188643929185432	43.4442270058708	0.0188643929185432	0.33831196832802	27.6174712327473	1464	IN	4	0	0.0188643929185432
#619CFF	#619CFF	0.0127226716298209	43.4442270058708	0.0127226716298209	0.210552887630677	8.25701388775378	649	PH	5	0	0.0127226716298209
#F564E3	#F564E3	0.00336890818719682	43.4442270058708	0.00336890818719682	0.0547241036346426	29.4880533625338	8753	US	6	0	0.00336890818719682
#F8766D	#F8766D	0.00384444442764069	43.5420743639922	0.00384444442764069	0.0626671930413919	3.74448887252203	974	AU	1	0	0.00384444442764069
#B79F00	#B79F00	0.00436523718460647	43.5420743639922	0.00436523718460647	0.0690540896979354	4.03347915857638	924	CA	2	0	0.00436523718460647
#00BA38	#00BA38	0.0058186100141436	43.5420743639922	0.0058186100141436	0.0864199274747763	8.90829193165386	1531	GB	3	0	0.0058186100141436
#00BFC4	#00BFC4	0.0184555481697996	43.5420743639922	0.0184555481697996	0.33097979112596	27.0189225205866	1464	IN	4	0	0.0184555481697996
#619CFF	#619CFF	0.0121716681984157	43.5420743639922	0.0121716681984157	0.20143409820088	7.89941266077178	649	PH	5	0	0.0121716681984157
#F564E3	#F564E3	0.0032083600262537	43.5420743639922	0.0032083600262537	0.0521161803225166	28.0827753097986	8753	US	6	0	0.0032083600262537
#F8766D	#F8766D	0.00362580046706929	43.6399217221135	0.00362580046706929	0.0591031401483524	3.53152965492548	974	AU	1	0	0.00362580046706929
#B79F00	#B79F00	0.00418592965348872	43.6399217221135	0.00418592965348872	0.0662176073228233	3.86779899982358	924	CA	2	0	0.00418592965348872
#00BA38	#00BA38	0.00559669925476012	43.6399217221135	0.00559669925476012	0.0831240352109578	8.56854655903774	1531	GB	3	0	0.00559669925476012
