fill	x	y	group	xmin	xmax	ymin	ymax
#132B43	35	41	-1	34.5	35.5	40.5	41.5
#132B43	42	41	-1	41.5	42.5	40.5	41.5
#132B43	31	42	-1	30.5	31.5	41.5	42.5
#132B43	30	43	-1	29.5	30.5	42.5	43.5
#132B43	37	43	-1	36.5	37.5	42.5	43.5
#132B43	42	43	-1	41.5	42.5	42.5	43.5
#132B43	41	45	-1	40.5	41.5	44.5	45.5
#132B43	25	19	-1	24.5	25.5	18.5	19.5
#132B43	20	20	-1	19.5	20.5	19.5	20.5
#132B43	30	20	-1	29.5	30.5	19.5	20.5
#132B43	20	21	-1	19.5	20.5	20.5	21.5
#132B43	26	21	-1	25.5	26.5	20.5	21.5
#132B43	33	21	-1	32.5	33.5	20.5	21.5
#132B43	25	22	-1	24.5	25.5	21.5	22.5
#132B43	28	22	-1	27.5	28.5	21.5	22.5
#132B43	29	22	-1	28.5	29.5	21.5	22.5
#132B43	30	22	-1	29.5	30.5	21.5	22.5
#132C44	31	22	-1	30.5	31.5	21.5	22.5
#132B43	32	22	-1	31.5	32.5	21.5	22.5
#132B43	33	22	-1	32.5	33.5	21.5	22.5
#132B43	34	22	-1	33.5	34.5	21.5	22.5
#132B43	35	22	-1	34.5	35.5	21.5	22.5
#132B43	36	22	-1	35.5	36.5	21.5	22.5
#132C44	38	22	-1	37.5	38.5	21.5	22.5
#132B43	23	23	-1	22.5	23.5	22.5	23.5
#132B43	25	23	-1	24.5	25.5	22.5	23.5
#132C44	26	23	-1	25.5	26.5	22.5	23.5
#132C44	27	23	-1	26.5	27.5	22.5	23.5
#132C44	28	23	-1	27.5	28.5	22.5	23.5
#132B43	29	23	-1	28.5	29.5	22.5	23.5
#132B43	31	23	-1	30.5	31.5	22.5	23.5
#132C44	32	23	-1	31.5	32.5	22.5	23.5
#132B43	33	23	-1	32.5	33.5	22.5	23.5
#132B43	34	23	-1	33.5	34.5	22.5	23.5
#132C44	35	23	-1	34.5	35.5	22.5	23.5
